food_name,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g
"Hummus, commercial",229.00,7.35,14.90,17.10
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.00,3.35,4.91,1.90
"Tomatoes, grape, raw",27.00,0.83,5.51,0.63
"Beans, snap, green, canned, regular pack, drained solids",21.00,1.04,4.11,0.39
"Broccoli, raw",32.00,2.57,6.29,0.34
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.00,3.38,5.19,0.95
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.00,3.43,4.89,0.08
"Milk, whole, 3.25% milkfat, with added vitamin D",60.00,3.28,4.67,3.20
"Frankfurter, beef, unheated",314.00,11.70,2.89,28.00
"Nuts, almonds, dry roasted, with salt added",620.00,20.40,16.20,57.80
"Cheese, ricotta, whole milk",157.00,7.81,6.86,11.00
"Kale, raw",35.00,2.92,4.42,1.49
"Egg, whole, raw, frozen, pasteurized",150.00,12.30,0.91,10.30
"Egg, white, raw, frozen, pasteurized",48.00,10.10,0.74,0.16
"Egg, white, dried",376.00,79.90,6.02,0.65
"Sauce, salsa, ready-to-serve",29.00,1.44,6.74,0.19
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.00,13.30,3.37,28.70
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",288.00,4.52,36.30,14.40
"Pickles, cucumber, dill or kosher dill",12.00,0.48,1.99,0.43
"Peanut butter, smooth style, with salt",597.00,22.50,22.30,51.10
"Cheese, parmesan, grated",421.00,29.60,12.40,28.00
"Cheese, pasteurized process, American, vitamin D fortified",366.00,18.00,5.27,30.60
"Grapefruit juice, white, canned or bottled, unsweetened",37.00,0.55,7.59,0.70
"Peaches, yellow, raw",42.00,0.91,10.10,0.27
"Seeds, sunflower seed kernels, dry roasted, with salt added",612.00,21.00,17.10,56.10
"Sausage, Italian, pork, mild, cooked, pan-fried",322.00,18.20,2.15,26.20
"Bread, white, commercially prepared",270.00,9.43,49.20,3.59
"Sausage, turkey, breakfast links, mild, raw",169.00,16.70,0.93,10.40
"Cheese, swiss",393.00,27.00,1.44,31.00
"Kale, frozen, cooked, boiled, drained, without salt",36.00,2.94,5.30,1.21
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37.00,0.81,7.92,0.47
"Mustard, prepared, yellow",61.00,4.25,5.30,3.38
"Figs, dried, uncooked",249.00,3.30,63.90,0.92
"Kiwifruit, green, raw",58.00,1.06,14.00,0.44
"Melons, cantaloupe, raw",34.00,0.82,8.16,0.18
"Nectarines, raw",39.00,1.06,9.18,0.28
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.00,0.91,11.80,0.15
"Strawberries, raw",31.00,0.64,7.63,0.22
"Lettuce, cos or romaine, raw",17.00,1.24,3.24,0.26
"Cheese, cheddar",408.00,23.30,2.44,34.00
"Cheese, cottage, lowfat, 2% milkfat",84.00,11.00,4.31,2.30
"Cheese, mozzarella, low moisture, part-skim",298.00,23.70,4.44,20.40
"Egg, whole, dried",575.00,48.10,1.87,39.80
"Egg, yolk, raw, frozen, pasteurized",296.00,15.60,0.59,25.10
"Egg, yolk, dried",654.00,34.20,1.07,55.50
